Layer,Name,Address,Day,Region,Category,Priority,Booking,Description
Points of Interest,"Calgary YYC","Calgary International Airport, Calgary, AB","Day 1 / Day 10","Calgary","Airport / logistics","Essential","Rental car / flights","Trip start and end point for the round-trip SUV rental."
Points of Interest,"Calgary grocery stop","Calgary, AB","Day 1","Calgary","Supplies","Useful","None","Stock snacks, breakfast items, water, sunscreen, and trail food before heading west."
Points of Interest,"Canmore Main Street","Main Street, Canmore, AB","Day 1","Canmore","Town / food","Optional","None","Easy first-night walk, dinner, and final reservation check after arrival."
Points of Interest,"Lake Louise Park and Ride","Lake Louise Ski Resort, Lake Louise, AB","Day 2","Banff / Lake Louise","Transit / shuttle","Essential","Parks Canada shuttle","Primary shuttle check-in point for Lake Louise and Moraine Lake."
Points of Interest,"Moraine Lake Rockpile Viewpoint","Moraine Lake, Banff National Park, AB","Day 2","Banff / Lake Louise","Lake / viewpoint","Essential","Shuttle or licensed operator","Valley of Ten Peaks viewpoint; the highest-priority Banff lake stop."
Points of Interest,"Lake Louise Lakeshore","Lake Louise, Banff National Park, AB","Day 2","Banff / Lake Louise","Lake / walk","Essential","Shuttle or paid parking","Classic lakeshore walk with Victoria Glacier views."
Points of Interest,"Lake Agnes Tea House trailhead","Lake Louise, Banff National Park, AB","Day 2","Banff / Lake Louise","Hike","Optional","None","Best upgrade if the group wants a moderate hike from Lake Louise."
Points of Interest,"Johnston Canyon Lower and Upper Falls","Johnston Canyon, Banff National Park, AB","Day 3","Banff","Waterfall / walk","Essential","None","Best easy waterfall walk in the Banff section; go early."
Points of Interest,"Banff Avenue","Banff Avenue, Banff, AB","Day 3","Banff","Town / food","Useful","None","Lunch, shops, and a flexible midpoint between canyon and viewpoints."
Points of Interest,"Bow Falls","Bow Falls, Banff, AB","Day 3","Banff","Waterfall / viewpoint","Useful","None","Easy river viewpoint near Banff town."
Points of Interest,"Surprise Corner","Surprise Corner Viewpoint, Banff, AB","Day 3","Banff","Viewpoint","Optional","None","Quick photo stop overlooking the Bow River and Fairmont Banff Springs."
Points of Interest,"Banff Gondola / Sulphur Mountain","Banff Gondola, Mountain Avenue, Banff, AB","Day 3","Banff","Pursuit attraction / viewpoint","Essential","Pursuit Pass / timed slot","Summit boardwalk and the strongest panoramic Bow Valley view."
Points of Interest,"Lake Minnewanka shoreline","Lake Minnewanka, Banff National Park, AB","Day 3","Banff","Lake / scenic drive","Optional","Cruise only if included","Lower-pressure scenic add-on if the group still has energy."
Points of Interest,"Two Jack Lake","Two Jack Lake, Banff National Park, AB","Day 3","Banff","Lake / viewpoint","Optional","None","Short scenic stop near Lake Minnewanka."
Points of Interest,"Spiral Tunnels Viewpoint","Spiral Tunnels Viewpoint, Yoho National Park, BC","Day 4","Yoho / Golden","Viewpoint","Useful","None","Quick Kicking Horse Pass railway viewpoint if visibility and timing are good."
Points of Interest,"Takakkaw Falls","Takakkaw Falls, Yoho National Park, BC","Day 4","Yoho / Golden","Waterfall","Essential","Seasonal road access","High-impact Yoho waterfall and the transfer-day anchor when the road is open."
Points of Interest,"Natural Bridge","Natural Bridge, Yoho National Park, BC","Day 4 / Day 5","Yoho / Golden","Waterfall / rock formation","Essential","None","Fast, high-value stop near Emerald Lake."
Points of Interest,"Emerald Lake","Emerald Lake, Yoho National Park, BC","Day 4 / Day 5","Yoho / Golden","Lake / walk","Essential","None","Yoho anchor; linger for shoreline time or canoe rentals if conditions are calm."
Points of Interest,"Wapta Falls","Wapta Falls, Yoho National Park, BC","Day 5","Yoho / Golden","Waterfall / hike","Essential","None","Nature-forward Yoho pick and the priority over paid extras."
Points of Interest,"Golden Skybridge","Golden Skybridge, Golden, BC","Day 5","Yoho / Golden","Paid attraction","Optional","Book if desired","Structured Golden-area attraction if the group wants something beyond park stops."
Points of Interest,"Bow Lake","Bow Lake, Icefields Parkway, AB","Day 6","Icefields Parkway","Lake / viewpoint","Essential","None","Quick shoreline pause on the northbound scenic transfer."
Points of Interest,"Peyto Lake Viewpoint","Peyto Lake Viewpoint, Icefields Parkway, AB","Day 6","Icefields Parkway","Lake / viewpoint","Essential","None","Quick overlook and one of the strongest low-time Icefields Parkway stops."
Points of Interest,"Athabasca Falls","Athabasca Falls, Jasper National Park, AB","Day 6","Jasper","Waterfall","Essential","None","Waterfall priority before Jasper on the Golden-to-Valemount transfer."
Points of Interest,"Jasper town","Jasper, AB","Day 6 / Day 8","Jasper","Town / food / supplies","Useful","None","Supply stop, dinner option, and staging point for Maligne Road."
Points of Interest,"Mount Robson Visitor Centre","Mount Robson Visitor Centre, Mount Robson Provincial Park, BC","Day 7","Mount Robson / Valemount","Viewpoint / visitor centre","Essential","None","Local Valemount payoff and best Mount Robson orientation stop."
Points of Interest,"Kinney Lake trailhead","Berg Lake Trailhead, Mount Robson Provincial Park, BC","Day 7","Mount Robson / Valemount","Hike","Optional","Check trail status","Active-day option toward Kinney Lake if conditions and group energy line up."
Points of Interest,"Medicine Lake Viewpoint","Medicine Lake, Jasper National Park, AB","Day 8","Jasper / Maligne Road","Lake / viewpoint","Useful","None","Low-effort scenic stop en route to Maligne Lake."
Points of Interest,"Maligne Lake Cruise","Maligne Lake, Jasper National Park, AB","Day 8","Jasper / Maligne Road","Pursuit attraction / lake","Essential","Book ahead / Pursuit Pass option","Jasper anchor activity and Spirit Island postcard view."
Points of Interest,"Pyramid Lake and Pyramid Island","Pyramid Lake, Jasper, AB","Day 8","Jasper","Lake / viewpoint","Useful","None","Late-day Jasper add-on before dinner if timing allows."
Points of Interest,"Columbia Icefield Adventure and Skywalk","Columbia Icefield Discovery Centre, Icefields Parkway, AB","Day 9","Icefields Parkway","Pursuit attraction","Essential","Book ahead / Pursuit Pass","Best saved for the Valemount-to-Calgary return day with no flight timing behind it."
