Name,Address,Day,Region,Category,Priority,Booking,Description
"Canmore Main Street","Main Street, Canmore, AB","Day 1","Canmore","Town / food","Optional","None","Easy first-night walk, dinner, and final reservation check after arrival."
"Lake Louise Park and Ride","Lake Louise Ski Resort, Lake Louise, AB","Day 2","Banff / Lake Louise","Transit / shuttle","Essential","Parks Canada shuttle","Primary shuttle check-in point for Lake Louise and Moraine Lake."
"Moraine Lake Rockpile Viewpoint","Moraine Lake, Banff National Park, AB","Day 2","Banff / Lake Louise","Lake / viewpoint","Essential","Shuttle or licensed operator","Valley of Ten Peaks viewpoint; the highest-priority Banff lake stop."
"Lake Louise Lakeshore","Lake Louise, Banff National Park, AB","Day 2","Banff / Lake Louise","Lake / walk","Essential","Shuttle or paid parking","Classic lakeshore walk with Victoria Glacier views."
"Lake Agnes Tea House trailhead","Lake Louise, Banff National Park, AB","Day 2","Banff / Lake Louise","Hike","Optional","None","Best upgrade if the group wants a moderate hike from Lake Louise."
"Johnston Canyon Lower and Upper Falls","Johnston Canyon, Banff National Park, AB","Day 3","Banff","Waterfall / walk","Essential","None","Best easy waterfall walk in the Banff section; go early."
"Banff Avenue","Banff Avenue, Banff, AB","Day 3","Banff","Town / food","Useful","None","Lunch, shops, and a flexible midpoint between canyon and viewpoints."
"Bow Falls","Bow Falls, Banff, AB","Day 3","Banff","Waterfall / viewpoint","Useful","None","Easy river viewpoint near Banff town."
"Surprise Corner","Surprise Corner Viewpoint, Banff, AB","Day 3","Banff","Viewpoint","Optional","None","Quick photo stop overlooking the Bow River and Fairmont Banff Springs."
"Open Top Touring","Brewster Transportation Centre, 100 Gopher St, Banff, AB","Day 3","Banff","Pursuit attraction / tour","Essential","Reserved Aug 20, 12:00 PM","Noon Banff tour before the late-afternoon gondola window."
"Banff Gondola / Sulphur Mountain","Banff Gondola, Mountain Avenue, Banff, AB","Day 3","Banff","Pursuit attraction / viewpoint","Essential","Reserved Aug 20, 5:30 PM up / 7:30 PM down","Summit boardwalk and the strongest panoramic Bow Valley view."
"Lake Minnewanka shoreline","Lake Minnewanka, Banff National Park, AB","Day 3","Banff","Lake / scenic drive","Optional","Cruise only if included","Lower-pressure scenic add-on if the group still has energy."
"Two Jack Lake","Two Jack Lake, Banff National Park, AB","Day 3","Banff","Lake / viewpoint","Optional","None","Short scenic stop near Lake Minnewanka."
